"id","targeting_score","visual_appeal","contextual_relevance","headline_length","cta_strength","position_on_page","ad_format","age_group","gender","location","time_of_day","day_of_week","brand_familiarity","device_type","ad_frequency","market_saturation","seasonality","headline_sentiment","headline_word_count","headline_power_words","body_text_length","body_word_count","body_sentiment","headline_question","headline_numbers","body_keyword_density","body_readability_score"
6478,3,-0.678830387856801,1,5,1,"Top Banner","Image","35-44","Female","West","Afternoon","Friday",5,"Desktop",1,5,0,-2.62533142840662,4,0,28,2,0.619170126540614,1,1,0.0931581257330254,87.0140297571197
3956,6,2.5614132529519,0,69,7,"Side Banner","Text","18-24","Female","Midwest","Evening","Saturday",5,"Desktop",8,3,1,1.0151097204335,13,1,120,34,-3.56987611591744,0,0,0.089169681891799,94.3654694478028
6257,2,-5.78197512018155,0,62,5,"Top Banner","Text","25-34","Male","Midwest","Evening","Wednesday",12,"Mobile",7,10,0,0.354389971652214,14,0,137,15,3.29856328831015,1,1,0.0530435676593334,67.1135838609189
9546,5,-0.958960151908911,0,46,2,"Top Banner","Text","18-24","Female","Northeast","Night","Monday",5,"Mobile",9,2,0,1.93397280425266,14,0,150,24,-1.00451236157755,0,0,0.0516631651646458,69.3371398490854
1163,1,6.79357646341701,1,37,1,"In-Content","Video","25-34","Male","Midwest","Afternoon","Monday",2,"Mobile",10,6,0,-4.93748901444665,6,1,83,0,-0.948268419100767,0,0,0.0972056534839794,80.2405130700208
7754,6,8.99159417012278,1,40,6,"In-Content","Video","55-64","Other","West","Night","Saturday",5,"Mobile",5,0,0,0.738669002445603,6,0,9,6,2.00747638303774,0,1,0.0847333919582889,91.724003572017
8269,2,11.4706736039978,0,NA,4,"Side Banner","Text","25-34","Female","Midwest","Morning","Sunday",1,"Mobile",3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7324,3,7.32819115805242,1,22,10,"In-Content","Video","45-54","Female","South","Evening","Friday",3,"Mobile",2,4,1,-1.11893135707405,4,0,63,8,1.91478074960913,0,0,0.0556640637805685,78.3545202808455
8592,2,-3.69204299925461,0,27,2,"Side Banner","Image","18-24","Male","Midwest","Afternoon","Wednesday",4,"Mobile",10,6,0,0.714241961368249,4,1,17,9,2.30538280966239,0,0,0.0287544847093523,77.7243715012446
1782,2,3.44384159378713,0,22,5,"In-Content","Image","18-24","Female","South","Evening","Tuesday",1,"Mobile",10,2,1,2.80229921206367,2,0,19,2,2.90945540543686,1,1,0.0120532372873276,61.6808481048793
8993,5,5.08884320543225,0,85,2,"Top Banner","Text","35-44","Other","Northeast","Afternoon","Tuesday",4,"Desktop",4,3,0,-0.958003122986479,8,1,197,29,-0.835688801371618,0,1,0.0286450762092136,74.5982082444243
2129,6,7.2418178047491,1,21,6,"In-Content","Video","18-24","Male","Midwest","Afternoon","Wednesday",6,"Mobile",4,6,0,-0.0360539447474883,6,1,17,20,-1.46135520235906,1,1,0.0228102724580094,86.0165517078713
8300,NA,NA,NA,51,NA,"Top Banner","Text","35-44","Female","West","Afternoon","Sunday",NA,"Mobile",9,NA,1,3.49734447109547,9,1,142,17,-1.11685710546679,1,0,0.0368922991072759,58.4214385948144
1625,7,11.9318131545248,1,28,2,"Side Banner","Video","35-44","Female","West","Morning","Monday",4,"Mobile",4,9,0,-1.60199242934821,6,0,60,3,-2.22808823466433,0,1,0.0125203231372871,72.8119709296152
4291,10,3.0007656374621,0,15,5,"Top Banner","Image",NA,"Male","Midwest","Morning","Wednesday",1,"Desktop",3,5,0,-2.96368984136755,5,0,15,2,-2.33196398028091,1,1,0.0341171230725013,72.1503952052444
3205,3,7.0460946419501,1,24,1,"In-Content","Image","45-54","Female","West","Morning","Monday",1,"Desktop",8,7,0,-0.692708108081736,5,0,22,5,-1.60942232013802,0,0,0.0649626056593843,97.0393280964345
6808,10,0.627717374008845,1,10,1,"Side Banner","Image","18-24","Male","Midwest","Afternoon","Wednesday",5,"Mobile",4,1,1,2.26634890650579,5,1,26,1,-1.9554562669012,0,0,0.0941829948010855,97.1510437782854
3732,8,11.1261796416175,0,23,3,"In-Content","Image","18-24","Female","Midwest","Afternoon","Monday",4,"Mobile",3,6,1,-1.5066055481961,3,0,36,1,4.81250833836669,0,1,0.0859743022546172,57.0182190625928
6660,2,-3.05371137723973,0,89,10,"In-Content","Text","55-64","Male","Midwest","Morning","Sunday",6,"Desktop",2,5,0,-0.482845147195031,11,0,6,20,-0.824977534976722,0,1,0.0771472783456557,89.8515431908891
